,zip_code,date,time,temperature,humidity,wind_speed
0,119618,2024-06-09,00:00,61,68,7
1,119618,2024-06-09,00:30,59,72,13
2,119618,2024-06-09,01:00,59,72,11
3,119618,2024-06-09,01:30,59,72,7
4,119618,2024-06-09,02:00,59,72,9
5,119618,2024-06-09,02:30,57,77,11
6,119618,2024-06-09,03:00,57,77,9
7,119618,2024-06-09,03:30,57,77,9
8,119618,2024-06-09,04:00,55,82,9
9,119618,2024-06-09,04:30,55,88,9
10,119618,2024-06-09,05:00,55,82,11
11,119618,2024-06-09,05:30,55,82,9
12,119618,2024-06-09,06:00,55,82,9
13,119618,2024-06-09,06:30,55,82,7
14,119618,2024-06-09,07:00,57,77,7
15,119618,2024-06-09,07:30,59,72,9
16,119618,2024-06-09,08:00,59,72,7
17,119618,2024-06-09,08:30,61,63,7
18,119618,2024-06-09,09:00,61,68,7
19,119618,2024-06-09,09:30,63,55,9
20,119618,2024-06-09,10:00,64,52,7
21,119618,2024-06-09,10:30,64,52,7
22,119618,2024-06-09,10:51,66,46,7
23,119618,2024-06-09,11:00,66,49,4
24,119618,2024-06-09,11:30,66,43,7
25,119618,2024-06-09,11:49,66,43,7
26,119618,2024-06-09,12:00,68,40,4
27,119618,2024-06-09,12:30,70,40,9
28,119618,2024-06-09,13:00,68,40,7
29,119618,2024-06-09,13:30,68,37,9
30,119618,2024-06-09,13:55,70,38,7
31,119618,2024-06-09,14:00,68,40,7
32,119618,2024-06-09,14:30,70,38,7
33,119618,2024-06-09,14:53,73,33,9
34,119618,2024-06-09,15:00,70,35,9
35,119618,2024-06-09,15:30,70,35,11
36,119618,2024-06-09,16:00,70,38,11
37,119618,2024-06-09,16:30,72,35,9
38,119618,2024-06-09,17:00,70,38,7
39,119618,2024-06-09,17:30,70,38,11
40,119618,2024-06-09,18:00,70,38,11
41,119618,2024-06-09,18:30,70,38,9
42,119618,2024-06-09,19:00,68,40,9
43,119618,2024-06-09,19:30,68,43,7
44,119618,2024-06-09,20:00,66,46,7
45,119618,2024-06-09,20:30,66,43,4
46,119618,2024-06-09,21:00,64,49,4
47,119618,2024-06-09,21:30,64,52,4
48,119618,2024-06-09,22:00,63,55,4
49,119618,2024-06-09,22:30,63,55,4
50,119618,2024-06-09,23:00,63,55,4
51,119618,2024-06-09,23:30,63,55,4
