,zip_code,date,time,temperature,humidity,wind_speed
0,125047,2024-06-13,00:00,66,94,7
1,125047,2024-06-13,00:30,66,94,9
2,125047,2024-06-13,00:38,66,94,9
3,125047,2024-06-13,01:00,66,94,9
4,125047,2024-06-13,01:30,66,94,7
5,125047,2024-06-13,02:00,66,94,4
6,125047,2024-06-13,02:24,66,94,2
7,125047,2024-06-13,02:25,66,94,2
8,125047,2024-06-13,02:30,66,94,2
9,125047,2024-06-13,02:45,66,94,4
10,125047,2024-06-13,03:00,66,94,7
11,125047,2024-06-13,03:18,66,94,4
12,125047,2024-06-13,03:30,66,94,7
13,125047,2024-06-13,03:52,66,94,9
14,125047,2024-06-13,04:00,66,94,9
15,125047,2024-06-13,04:10,66,94,7
16,125047,2024-06-13,04:11,66,94,7
17,125047,2024-06-13,04:27,66,94,7
18,125047,2024-06-13,04:30,66,94,7
19,125047,2024-06-13,05:00,64,100,7
20,125047,2024-06-13,05:30,64,100,9
21,125047,2024-06-13,05:44,64,100,9
22,125047,2024-06-13,06:00,64,100,11
23,125047,2024-06-13,06:30,66,94,7
24,125047,2024-06-13,07:00,66,94,7
25,125047,2024-06-13,07:15,66,94,7
26,125047,2024-06-13,07:30,66,94,7
27,125047,2024-06-13,08:00,68,88,7
28,125047,2024-06-13,08:30,68,94,9
29,125047,2024-06-13,09:00,70,88,9
30,125047,2024-06-13,09:30,70,83,9
31,125047,2024-06-13,10:00,70,83,9
32,125047,2024-06-13,10:30,72,78,7
33,125047,2024-06-13,11:00,72,83,11
34,125047,2024-06-13,11:30,72,78,9
35,125047,2024-06-13,12:00,72,73,9
36,125047,2024-06-13,12:30,72,78,11
37,125047,2024-06-13,13:00,70,83,11
38,125047,2024-06-13,13:27,68,88,11
39,125047,2024-06-13,13:30,68,88,11
40,125047,2024-06-13,13:41,66,94,11
41,125047,2024-06-13,14:00,64,100,11
42,125047,2024-06-13,14:08,64,100,11
43,125047,2024-06-13,14:30,64,100,11
44,125047,2024-06-13,14:42,64,94,11
45,125047,2024-06-13,15:00,64,100,9
46,125047,2024-06-13,15:30,64,94,9
47,125047,2024-06-13,16:00,66,88,9
48,125047,2024-06-13,16:30,66,88,9
49,125047,2024-06-13,17:00,64,94,11
50,125047,2024-06-13,17:30,64,94,13
51,125047,2024-06-13,18:00,64,88,16
52,125047,2024-06-13,18:30,64,88,13
53,125047,2024-06-13,19:00,63,94,13
54,125047,2024-06-13,19:24,63,94,11
55,125047,2024-06-13,19:30,63,94,13
56,125047,2024-06-13,19:38,63,94,16
57,125047,2024-06-13,20:00,63,94,16
58,125047,2024-06-13,20:30,63,94,13
59,125047,2024-06-13,21:00,63,88,13
60,125047,2024-06-13,21:30,63,94,13
61,125047,2024-06-13,22:00,63,88,13
62,125047,2024-06-13,22:30,63,88,11
63,125047,2024-06-13,23:00,61,94,9
64,125047,2024-06-13,23:30,61,94,13
65,125047,2024-06-13,23:41,61,88,18
